title_key,author_key,title,author,genre,first_year,last_year,appear_count,avg_rating,avg_reviews,max_reviews,avg_price,title_length,title_word_count,has_colon,has_number,duration,is_multi_year_bestseller,is_long_seller,has_reentry
the 5 love languages the secret to love that lasts,gary chapman,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,Non Fiction,2010,2022,13,4.7615384615384615,25580.23076923077,62463.0,15.692307692307692,51,10,1,1,13,1,1,0
the very hungry caterpillar,eric carle,The Very Hungry Caterpillar,Eric Carle,Fiction,2013,2022,10,4.9,27860.2,47260.0,5.0,27,4,0,0,10,1,1,0
publication manual of the american psychological association 6th edition,american psychological association,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,Non Fiction,2009,2018,10,4.5,8580.0,8580.0,46.0,73,9,0,1,10,1,1,0
the four agreements a practical guide to personal freedom a toltec wisdom book,don miguel ruiz,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,Non Fiction,2013,2022,9,4.7,40804.666666666664,75798.0,6.666666666666667,81,13,1,0,10,1,1,1
oh the places youll go,dr seuss,"Oh, the Places You'll Go!",Dr. Seuss,Fiction,2012,2021,9,4.9,23328.777777777777,35287.0,8.11111111111111,25,5,0,0,10,1,1,1
strengthsfinder 20,gallup,StrengthsFinder 2.0,Gallup,Non Fiction,2009,2017,9,4.0,5069.0,5069.0,17.0,19,2,0,1,9,1,1,0
how to win friends influence people,dale carnegie,How to Win Friends & Influence People,Dale Carnegie,Non Fiction,2014,2022,7,4.7,35367.28571428572,61283.0,11.0,37,7,0,0,9,1,1,1
the 7 habits of highly effective people powerful lessons in personal change,stephen r covey,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,Non Fiction,2009,2017,7,4.642857142857143,7353.571428571428,9325.0,20.571428571428573,76,12,1,1,9,1,1,1
the wonderful things you will be,emily winfield martin,The Wonderful Things You Will Be,Emily Winfield Martin,Fiction,2016,2022,6,4.9,12868.0,20920.0,9.666666666666666,32,6,0,0,7,1,1,1
jesus calling enjoying peace in his presence with scripture references,sarah young,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,Non Fiction,2011,2016,6,4.9,19576.0,19576.0,8.0,73,10,1,0,6,1,1,0
