title_key,author_key,year,title,author,amazon_rating,amazon_reviews,price,genre,title_length,title_word_count,has_colon,has_number,review_log,review_level,rating_level
10day green smoothie cleanse,jj smith,2016,10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350.0,8.0,Non Fiction,29,4,0,1,9.761405420601672,middle,high
112263 a novel,stephen king,2011,11/22/63: A Novel,Stephen King,4.6,2052.0,22.0,Fiction,17,3,1,1,7.627057417018934,low,high
12 rules for life an antidote to chaos,jordan b peterson,2018,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979.0,15.0,Non Fiction,39,8,1,1,9.85114107216392,middle,high
1984,george orwell,2021,1984,George Orwell,4.7,60381.0,7.0,Fiction,4,1,0,1,11.008446326263101,high,high
1984 signet classics,george orwell,2017,1984 (Signet Classics),George Orwell,4.7,21424.0,6.0,Fiction,22,3,0,1,9.97231374346598,high,high
5000 awesome facts about everything national geographic kids,national geographic kids,2019,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665.0,12.0,Non Fiction,66,8,0,1,8.9445502459405,middle,high
a dance with dragons a song of ice and fire,george r r martin,2011,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643.0,11.0,Fiction,45,10,0,0,9.444938073335509,middle,normal
a game of thrones a clash of kings a storm of swords a feast of crows a dance with dragons,george r r martin,2014,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735.0,30.0,Fiction,98,24,0,0,9.890199658209193,high,high
a gentleman in moscow a novel,amor towles,2017,A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699.0,15.0,Fiction,30,6,1,0,9.88837391472608,high,high
a higher loyalty truth lies and leadership,james comey,2018,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983.0,3.0,Non Fiction,45,7,1,0,8.696844519654313,low,high
a man called ove a novel,fredrik backman,2016,A Man Called Ove: A Novel,Fredrik Backman,4.6,23848.0,8.0,Fiction,25,6,1,0,10.07949756671628,high,high
a man called ove a novel,fredrik backman,2017,A Man Called Ove: A Novel,Fredrik Backman,4.6,23848.0,8.0,Fiction,25,6,1,0,10.07949756671628,high,high
a patriots history of the united states from columbuss great discovery to the war on terror,larry schweikart,2010,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460.0,2.0,Non Fiction,94,16,1,0,6.133398042996649,low,high
a promised land,barack obama,2020,A Promised Land,Barack Obama,4.9,121109.0,16.0,Non Fiction,15,3,0,0,11.704454502515096,high,very_high
a stolen life a memoir,jaycee dugard,2011,A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149.0,32.0,Non Fiction,23,5,1,0,8.330863613224745,low,high
a wrinkle in time time quintet,madeleine lengle,2018,A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153.0,5.0,Fiction,32,6,0,0,8.54752839121231,low,normal
act like a lady think like a man what men really think about love relationships intimacy and commitment,steve harvey,2009,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,5013.0,17.0,Non Fiction,108,18,1,0,8.519989278718239,low,high
adult coloring book designs stress relief coloring book garden designs mandalas animals and paisley patterns,adult coloring book designs,2016,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.5,2313.0,4.0,Non Fiction,113,15,1,0,7.746732907753622,low,normal
adult coloring book stress relieving animal designs,blue star coloring,2015,Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2925.0,6.0,Non Fiction,52,7,1,0,7.98139158158007,low,high
adult coloring book stress relieving patterns,blue star coloring,2015,Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2951.0,6.0,Non Fiction,46,6,1,0,7.990238185720363,low,normal
adult coloring books a coloring book for adults featuring mandalas and henna inspired flowers animals and paisley,coloring books for adults,2015,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,4.5,2426.0,8.0,Non Fiction,117,17,1,0,7.794411205726601,low,normal
air fryer cookbook 600 effortless air fryer recipes for beginners and advanced users,jenson william,2022,Air Fryer Cookbook: 600 Effortless Air Fryer Recipes for Beginners and Advanced Users,Jenson William,4.4,29402.0,11.0,Non Fiction,85,13,1,1,10.288851988937289,high,normal
alexander hamilton,ron chernow,2016,Alexander Hamilton,Ron Chernow,4.8,9198.0,13.0,Non Fiction,18,2,0,0,9.126850061477157,middle,high
all the light we cannot see,anthony doerr,2014,All the Light We Cannot See,Anthony Doerr,4.6,36348.0,14.0,Fiction,27,6,0,0,10.50092197226688,high,high
all the light we cannot see,anthony doerr,2015,All the Light We Cannot See,Anthony Doerr,4.6,36348.0,14.0,Fiction,27,6,0,0,10.50092197226688,high,high
allegiant,veronica roth,2013,Allegiant,Veronica Roth,3.9,6310.0,13.0,Fiction,9,1,0,0,8.75004942158424,low,normal
american dirt oprahs book club a novel,jeanine cummins,2020,American Dirt (Oprah's Book Club): A Novel,Jeanine Cummins,4.6,66795.0,14.0,Fiction,42,7,1,0,11.109398477492324,high,high
american marxism,mark r levin,2021,American Marxism,Mark R. Levin,4.9,29510.0,14.0,Non Fiction,16,2,0,0,10.292518354180867,high,very_high
american sniper the autobiography of the most lethal sniper in us military history,chris kyle,2015,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921.0,9.0,Non Fiction,85,13,1,0,9.675457079648524,middle,high
